input_name,value,unit,classification,notes
active_tractor_fleet_size_actual,12,tractors,disclosed,"BOTAUTO-001: FreightWaves/Road to Autonomy field report, as of 2026-04-30. See source_registry.csv."
total_capital_raised_actual,40000000,USD,disclosed,"BOTAUTO-002: same field report."
target_fleet_size_2026,30,trucks,assumed,"Per the project specification's framing of Bot Auto's public target. Could not be independently verified via web search during this build (BOTAUTO-003 in source_registry.csv) -- treat as unverified scenario framing, not confirmed disclosure."
target_operating_breakeven_fleet_size,100,trucks,assumed,"Per the project specification's framing (BOTAUTO-004). Same verification caveat as target_fleet_size_2026. This is the anchor for the implied-economics sensitivity case below, per spec section 13 -- it is used to ask 'what fixed-cost/contribution-margin combinations would make this target internally consistent,' not to assert it is Bot Auto's actual plan."
assumed_annual_fixed_costs_case_low,5000000,USD,scenario,"Sensitivity case 1 of 4 (spec section 13 matrix)."
assumed_annual_fixed_costs_case_mid_low,10000000,USD,scenario,"Sensitivity case 2 of 4."
assumed_annual_fixed_costs_case_mid_high,15000000,USD,scenario,"Sensitivity case 3 of 4."
assumed_annual_fixed_costs_case_high,20000000,USD,scenario,"Sensitivity case 4 of 4."
required_annual_contribution_per_truck_case_low,50000,USD,derived,"= assumed_annual_fixed_costs_case_low / 100 trucks (spec section 13 formula)."
required_annual_contribution_per_truck_case_mid_low,100000,USD,derived,"= assumed_annual_fixed_costs_case_mid_low / 100 trucks."
required_annual_contribution_per_truck_case_mid_high,150000,USD,derived,"= assumed_annual_fixed_costs_case_mid_high / 100 trucks."
required_annual_contribution_per_truck_case_high,200000,USD,derived,"= assumed_annual_fixed_costs_case_high / 100 trucks."
assumed_annual_revenue_per_truck,300000,USD,assumed,"Modeling input for the user to override; not a disclosed Bot Auto figure. Chosen only to produce an internally-consistent illustrative sensitivity run."
assumed_utilization,0.85,ratio,assumed,"Steady-state utilization assumption for the sensitivity run."
assumed_annual_variable_operating_cost_per_truck,150000,USD,assumed,"Placeholder for field-service, maintenance, connectivity, fuel/energy, and other variable costs -- override with company data."
assumed_upfront_autonomy_system_cost_per_truck,150000,USD,assumed,"Placeholder hardware/autonomy-kit cost per truck."
assumed_deployment_cost_per_truck,20000,USD,assumed,"Placeholder installation/integration cost per truck."
assumed_fleet_growth_schedule_note,"linear ramp from 12 (disclosed actual, 2026-04) to 30 (unverified 2026 target) to 100 (unverified 2027 target)",n/a,scenario,"Illustrative growth path only; combines one disclosed data point with two unverified spec-stated targets. Do not present as a confirmed roadmap."
