metric_id,company,metric_name,value,unit,as_of_date,source_title,source_url,source_type,classification,confidence,notes
SYM-001,Symbotic,Total contracted backlog,22500000000,USD,2025-09-27,Symbotic Inc. Form 10-K FY2025,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/sym-20250927.htm,SEC filing,disclosed,high,"Backlog figure; Walmart and GreenBox agreements make up the vast majority per the filing."
SYM-002,Symbotic,GreenBox JV ownership split (Symbotic / SoftBank),35/65,percent,2023-07-23,Symbotic GreenBox Framework Agreement announcement,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/sym-20240928.htm,SEC filing,disclosed,high,"GreenBox is a joint venture, not an independent customer -- relevant when interpreting concentration by 'customer.'"
SYM-003,Symbotic,GreenBox committed purchase volume,7500000000,USD over 6 years,2023-07-23,Symbotic GreenBox Framework Agreement announcement,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/sym-20240928.htm,SEC filing,disclosed,high,"Aggregate minimum GreenBox commitment to purchase Symbotic systems."
SYM-004,Symbotic,Walmart Master Automation Agreement scope,400 committed / 200 optional,micro-fulfillment systems,2025-01-01,Symbotic-Walmart Master Automation Agreement / Advanced Systems and Robotics acquisition,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/sym-20250927.htm,SEC filing,disclosed,medium,"As_of_date is approximate (January 2025); exact signing date not confirmed in this pass."
TORC-001,Torc Robotics,Driver-out validation milestone date,2024-10-29,date,2024-10-29,Daimler Truck: Torc Robotics achieves Driver-Out Validation Milestone,https://northamerica.daimlertruck.com/news-stories/2024/autonomous-driving-daimler-truck-subsidiary-torc-robotics-achieves-driver-out-validation-milestone,press release,disclosed,high,"Closed-course validation at up to 65 mph, no safety driver."
TORC-002,Torc Robotics,Targeted commercial launch year,2027,year,2024-10-29,Daimler Truck: Torc Robotics achieves Driver-Out Validation Milestone,https://northamerica.daimlertruck.com/news-stories/2024/autonomous-driving-daimler-truck-subsidiary-torc-robotics-achieves-driver-out-validation-milestone,press release,disclosed,high,"Company-stated target, not an actual/achieved date."
BEDROCK-001,Bedrock Robotics,Stealth-exit funding,80000000,USD,2025-07-17,Bedrock Robotics Emerges from Stealth with $80M in Funding,https://www.prnewswire.com/news-releases/bedrock-robotics-emerges-from-stealth-with-80m-in-funding-for-autonomous-construction-technology-302506159.html,press release,disclosed,high,"Seed + Series A combined figure per release."
BEDROCK-002,Bedrock Robotics,Series B funding,270000000,USD,2026-02-04,Bedrock Robotics Raises $270 Million in Series B Funding,https://www.prnewswire.com/news-releases/bedrock-robotics-raises-270-million-in-series-b-funding-to-accelerate-the-future-of-autonomous-construction-302679014.html,press release,disclosed,high,"Total funding to date exceeds $350M per release."
BEDROCK-003,Bedrock Robotics,Targeted operator-less deployment year,2026,year,2026-02-04,Bedrock Robotics Raises $270 Million in Series B Funding,https://www.prnewswire.com/news-releases/bedrock-robotics-raises-270-million-in-series-b-funding-to-accelerate-the-future-of-autonomous-construction-302679014.html,press release,disclosed,high,"IMPORTANT: Bedrock Robotics builds operator-less autonomous EXCAVATORS for construction, not autonomous trucks. The project spec (section 1.4) references 'Bedrock Robotics operator-less deployment target' in a trucking-adjacent context; that framing is a segment mismatch and this calibration row should be read as a construction-automation data point only."
AGTONOMY-001,Agtonomy,Kubota equity investment announced,unspecified,USD,2026-04-22,Kubota invests in the U.S. agritech startup Agtonomy,https://www.kubota.com/news/2026/20260422-001170.html,press release,disclosed,medium,"Investment amount not disclosed in press release; partnership described as active since 2024."
RHODA-001,Rhoda AI,Series A funding,450000000,USD,2026-03-10,Rhoda AI Exits Stealth with $450 Million Series A,https://www.businesswire.com/news/home/20260310715139/en/Rhoda-AI-Exits-Stealth-with-$450-Million-Series-A-to-Bring-Robots-Out-of-the-Lab-and-Into-the-Real-World,press release,disclosed,high,"$1.7B post-money valuation reported by TechFundingNews."
RHODA-002,Rhoda AI,Stealth duration before public launch,18,months,2026-03-10,Rhoda AI Exits Stealth with $450 Million Series A,https://www.businesswire.com/news/home/20260310715139/en/Rhoda-AI-Exits-Stealth-with-$450-Million-Series-A-to-Bring-Robots-Out-of-the-Lab-and-Into-the-Real-World,press release,disclosed,high,"Implies stealth start approximately September 2024."
BOTAUTO-001,Bot Auto,Active tractor fleet size,12,tractors,2026-04-30,Bot Auto commercial launch field report / FreightWaves coverage,https://www.roadtoautonomy.com/bot-auto-commercial-launch-field-report/,news article,disclosed,medium,"Reported alongside 25+ contracted customers and $40M capital raised."
BOTAUTO-002,Bot Auto,Total capital raised,40000000,USD,2026-04-30,Bot Auto commercial launch field report,https://www.roadtoautonomy.com/bot-auto-commercial-launch-field-report/,news article,disclosed,medium,"As reported by Road to Autonomy; not a primary company filing."
BOTAUTO-003,Bot Auto,Targeted 2026 fleet size,30,trucks,,Not independently verified,,unverified,assumed,low,"The project specification (provided by the user) states Bot Auto has 'publicly discussed a target of reaching approximately 30 trucks in 2026.' Web search during this build could not locate a citable primary source for this specific figure. Treat as an unverified scenario input, not a confirmed disclosure, until the user supplies a citation."
BOTAUTO-004,Bot Auto,Targeted operating-breakeven fleet size,100,trucks,,Not independently verified,,unverified,assumed,low,"The project specification states a target of 'breakeven at a 100-truck fleet by 2027.' Same verification caveat as BOTAUTO-003 -- used only as the anchor for the implied-economics sensitivity case in section 13 of the spec, never as a confirmed P&L reconstruction."
